feature	Taxon	Confidence
5dd02515bd257bd118de8c3bd0276f3c	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus	0.8947342746985788
1d76c0d7ea92f0ac7ed6ff512d4eb8be	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.922463950162406
bb6e28a70bf4b6cb87d83f9fe614bbdf	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999997076178319
3ba82d5f9fbbd416d81e912243046f93	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999998672388138
701df09aa5f191c0a929dd2d7c9c2058	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.9994891949558267
c66412e23332bc2b85f4198d30af3421	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9804525945751409
79a2f6187bc694f81189b39de3ea2bbb	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__pseudolongum	0.8254824642462097
a77887b8692d2463c29573ad5fb58ae7	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__acidifaciens	0.979504097679262
06c3051074f807b6923c1bd44b50478b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.998729713004036
55881f712da31d022601d37575d24cdf	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.7708791073953987
a56e2655a210368c85d084faf8879af8	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium	0.7021295566523825
7b18d3500927b74e646a468f3f03fd7a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999975280420159
16adb395c5ac85d0811d9a6c27fa2ba2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999963333391
