feature,Taxon,Time_p,Treatment_p,Inter_time_treatment,OVXDHT_OVXP_P,OVXDHT_SHAMDHT_P,OVXDHT_SHAMP_P,OVXP_SHAMDHT_P,OVXP_SHAMP_P,SHAMDHT_SHAMP_P
039d853081041edd92f09d472f5d8fdf,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae; g__Mucispirillum; s__schaedleri,0.2899049147736147,0.182992221680877,0.6575931370345226,0.35269940476810213,0.42419590525987383,0.353671115714725,0.9990280084307877,0.9999982004488881,0.9993228381466217
04c5e5f7d6e1ba4a2748693dcd77afd6,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.013351375737790105,0.02884185845148749,0.039342679106045095,0.01738444547228457,0.88852329759959,0.020883818589779057,0.09239433574471412,0.9995907747125775,0.1091160206388968
14b932726f8e1c32444ce1c58c481a5b,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__,0.09313957865982592,0.8864407681147307,0.2009119317632455,0.9998282480836738,0.9962914693575766,0.18236800357219674,0.9990288642560303,0.1610980831095098,0.11969792894299836
19c2b3f88a52dea5e130ccdc3394adb8,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.004399044044753886,0.012993262810626469,0.22435770685235876,0.9038022454132439,0.005642654764980715,0.08773162749977814,8.662783944450858e-4,0.018263193723520588,0.672179749195221
218ebc6c60fde53eea976f473a3d5aee,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.04378724186181362,0.3825584972184522,0.4770636252781605,0.05932239278353679,0.8829124641315979,0.999519299181802,0.25126082947186623,0.04524649314626128,0.8321333971477967
2b02c5e3badb88a37b79d04d954c5858,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.004399044044753886,0.774085340569699,0.02638603889828506,0.46317801169049033,0.0034075531428607864,0.0011081274602962043,0.13006433916242677,0.057215922920717865,0.981141296750666
2e59f1b99fab85cb63bce2f35a5ca838,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__,0.025541298094261998,0.8864407681147307,0.04404697438327245,0.997874310941343,0.04447504676609926,0.21224701601981055,0.029919933238296226,0.1549057268564663,0.8677776275191911
3ae7caa9e7575a6bc2a0932e8952c64f,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.03014061298792741,0.20081097418887237,0.22435770685235876,0.7524127616221011,0.459604844363507,0.3254245634958435,0.08204043960509744,0.888971123062927,0.014123328574891847
3b9fa8cfdccd5f68fa61d136faa7d8fb,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.011820283879873661,0.002217979727170416,0.14958544914961402,0.9915950833800282,0.016585181467477228,0.03664442164897097,0.03480928981541587,0.0726865062799057,0.9870455391425472
40243fc8a00f8ebd271e881ee8f354a1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.006339002894327761,0.706265676549303,0.3271404677853532,0.3244957027048829,0.28203201835310143,0.18290050720068873,0.005976556438128666,0.0029533366572728204,0.9947860637236712
40d7d9cef37260a18835d48088dd83d9,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.09313957865982592,0.03998121863888558,0.16550248632051373,0.7607560050945197,0.4291276880931051,0.9381752895180347,0.07552186883299095,0.9765268490528627,0.16773752325092017
4c890d34b952ec6b2e0b8c670eb6d47c,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.005547808687662165,4.352157929321532e-5,0.7092156555155553,0.40893885256610585,0.035763031970010406,0.9622122702460809,5.263199549160325e-4,0.6965412593379491,0.010372862157962293
4e13b0a4e0a3deb55768adf1d875e28f,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.026378301116293024,0.3365346209972255,0.17192042598022206,0.5289976461046518,0.18943341288217908,0.9956271035094855,0.008451463977988571,0.39280825394548924,0.27908941119974195
54df10b2c671e1384b096ab492a3c85b,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.005547808687662165,0.03998121863888558,0.2009119317632455,0.0019399046852769386,0.002409969712646065,0.01047872868914923,0.9996906298949357,0.9162530887454224,0.9449610417678387
58ac43ab3653f8b975062a764e994a0b,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.009228971462021158,0.04799240381649999,0.25809030775674635,0.7643435588103548,0.02700639075771516,0.6838475554347156,0.002066850871226378,0.1765682791531793,0.2688716872859114
5a55534a700fe6fc139cd51e6e3af937,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.06420058781279166,0.04717481620175644,0.07748869945281622,0.5860500239400788,0.40415004881356986,0.9991475965025122,0.03543439258607306,0.50147915377607,0.47673585867751267
5c84da062d316376fe8be9735aaf5b66,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.012167957506583149,0.04717481620175644,0.1925577518199191,0.9669413932771715,0.005212188700032705,0.9492216516118234,0.018336691436448116,0.9998632734325889,0.020567319816260476
