feature,OVXDHT,OVXP,SHAMDHT,SHAMP,MeanDecreaseAccuracy,MeanDecreaseGini,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
039d853081041edd92f09d472f5d8fdf,1.7459676122913004,-0.06105250718293971,0.8397631385968104,1.7908797901787032,1.9645900491773713,0.317610374231107,k__Bacteria,p__Deferribacteres,c__Deferribacteres,o__Deferribacterales,f__Deferribacteraceae,g__Mucispirillum,s__schaedleri,0.9999999257716637
04c5e5f7d6e1ba4a2748693dcd77afd6,1.3884050495334066,2.4635574192861305,-1.6570301084584533,-0.19885667552296188,0.7940846726740238,0.3907410541639487,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__,s__,0.9999987863426558
14b932726f8e1c32444ce1c58c481a5b,3.6524564841051643,1.8350982289598028,-0.055188789004818085,0.4069706301961899,2.7055190718559707,0.31799596717915835,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__,0.7275906949445536
19c2b3f88a52dea5e130ccdc3394adb8,-0.8666551461528714,1.189269563992453,2.417196794271634,1.3397369749195858,1.9889834063905385,0.4152012648008674,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__,s__,0.9999999549958015
218ebc6c60fde53eea976f473a3d5aee,3.452793513141666,3.322041887913776,-0.8357295603491888,2.795924311934019,4.011246494341899,0.4816419992588529,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__,0.92512375251453
2b02c5e3badb88a37b79d04d954c5858,1.5315196120408576,0.6938227634506892,0.979294631420555,2.793475241552179,3.1151336630814765,0.39800864348574566,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__,s__,0.9999998902577178
2e59f1b99fab85cb63bce2f35a5ca838,0.9905441069689429,2.6335089981180615,1.851494617049788,-0.07777212029194992,2.9750455948884045,0.4308493095179037,k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Allobaculum,s__,0.9999999999984794
3ae7caa9e7575a6bc2a0932e8952c64f,-0.39792320345941623,0.9441810951835843,1.4873165233661079,0.8289045237057838,1.6794278457459673,0.3861432271940918,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__,0.9984091167442894
3b9fa8cfdccd5f68fa61d136faa7d8fb,1.234234268996426,0.31045123249483253,-0.16461472460414442,2.264078398582494,1.6232506374851199,0.41207488670676157,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__,s__,0.7582069403687112
40243fc8a00f8ebd271e881ee8f354a1,-0.478021229605491,2.5735783500649165,-0.07358865101573739,3.067153820938215,2.8534314271749333,0.6381439427730404,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__,s__,0.9999305274888963
40d7d9cef37260a18835d48088dd83d9,-2.102672440974968,1.2459747649917539,0.3186164927764952,1.165599257176379,0.04506827765188499,0.33259559290767526,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__,0.9987984709868268
4c890d34b952ec6b2e0b8c670eb6d47c,1.1324718063819426,1.4605831340582702,1.8070857223144257,1.2213549767125726,2.5743019600013963,0.39239091576323115,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__,0.9993942051288981
4e13b0a4e0a3deb55768adf1d875e28f,-1.6070961892064988,2.9658203718067733,1.6872365156226437,0.06637882199630431,1.8912141395573934,0.5296338877920947,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__,0.9975354674862299
54df10b2c671e1384b096ab492a3c85b,1.1217999572414705,1.3319272766195647,-0.3694784012591096,-1.0196521462133794,0.31812492087333594,0.40355822069729264,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__,s__,0.7362873876904952
58ac43ab3653f8b975062a764e994a0b,0.49793731105648253,1.4076430054025737,3.1244320451242276,0.8240178060395347,3.1031862694488934,0.4243367240856629,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__,0.9995394089778575
5a55534a700fe6fc139cd51e6e3af937,-0.09069060746698511,2.218168041964729,3.8023487421005377,-1.5309262655468867,2.71494143505995,0.4058248220845888,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__,0.9994604944229726
5c84da062d316376fe8be9735aaf5b66,-0.22168991587198875,0.8694992611236115,2.830897916231821,1.4962878688910237,3.0328360297633923,0.573637258920007,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__,0.9978959103745163
60b20d764c1f2c35287b225e3b195b2e,-0.20158693500278344,-0.35481512040793206,1.5533249172798655,2.36897550958328,1.5912997247718308,0.46240118387195617,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__,s__,0.9999999245774973
61f41b7546d47c5a7495d40062c6b1e5,-0.5115205069889835,2.323878203579346,0.8791494581126519,-0.2655369662675248,1.4880348098213503,0.36196224057762255,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__,s__,0.8855630794299069
